         name         | gender |    dob     
----------------------+--------+------------
 ARIZONA              | F      | 1967-06-20
 ARIZONA              | F      | 1973-02-28
 ARIZONA              | F      | 1949-05-28
 ARIZONA              | F      | 1983-06-15
 ARIZONA              | F      | 1974-12-14
 ARIZONA              | M      | 1990-03-22
 ARIZONA              | F      | 1974-12-14
 ARIZONA              | F      | 1958-09-19
 ARIZONA              | F      | 1966-08-25
 ARIZONA              | F      | 1978-03-23
 ARIZONA              | F      | 1960-07-17
 ARIZONA              | M      | 1977-09-06
 ARIZONA              | F      | 1978-03-23
 ARIZONA              | M      | 1978-06-11
 ARIZONA              | F      | 1990-09-01
 ARIZONA              | F      | 1990-09-01
 ARIZONA              | F      | 1975-11-25
 ARIZONA              | M      | 1970-08-15
 ARIZONA              | F      | 1995-06-09
 ARIZONA              | F      | 1988-03-17
 ARIZONA              | M      | 1981-12-07
 ARIZONA              | M      | 1981-12-07
 ARIZONA              | F      | 1996-08-13
 ARIZONA              | F      | 1996-08-13
 ARIZONA              | F      | 1988-03-17
 ARIZONA              | M      | 1951-11-13
 ARIZONA              | F      | 1966-12-07
 ARIZONA              | M      | 1905-02-08
 ARIZONA              | M      | 1978-01-12
 ARIZONA              | F      | 1964-04-23
 ARIZONA              | F      | 1964-04-23
 ARIZONA              | M      | 1905-02-08
 ARIZONA              | F      | 1954-11-03
 ARIZONA              | M      | 1960-05-31
 ARIZONA              | F      | 1954-11-03
 ARIZONA              | F      | 1985-01-01
 ARIZONA              | F      | 1985-01-01
 ARIZONA              | M      | 1987-11-10
 ARIZONA              | F      | 1973-02-22
 ARIZONA              | F      | 1948-01-27
 ARIZONA              | M      | 1971-03-03
 ARIZONA              | M      | 1957-09-12
 ARIZONA              | M      | 1947-03-08
 ARIZONA              | F      | 1954-08-13
 ARIZONA              | F      | 1988-11-18
 ARIZONA              | F      | 1988-11-18
 ARIZONA              | M      | 1973-12-30
 ARIZONA              | M      | 1973-12-30
 ARIZONA              | M      | 1996-01-24
 ARIZONA              | M      | 1969-07-03
 ARIZONA              | F      | 1973-02-28
 ARIZONA              | F      | 1968-09-28
 ARIZONA              | F      | 1968-09-28
 ARIZONA              | F      | 1968-09-28
 ARIZONA              | M      | 1944-11-03
 ARIZONA              | M      | 1944-11-03
 ARIZONA              | M      | 1969-08-29
 ARIZONA              | F      | 1967-06-20
 ARIZONA              | M      | 1956-09-09
 ARIZONA              | M      | 1956-09-09
 ARIZONA              | F      | 1983-12-31
 ARIZONA              | F      | 1905-10-02
 ARIZONA              | F      | 1905-10-02
 ARIZONA              | F      | 1983-12-31
 ARIZONA              | M      | 1969-08-29
 ARIZONA              | F      | 1981-01-20
 ARIZONA              | F      | 1954-01-06
 ARIZONA              | F      | 1949-10-10
 ARIZONA              | M      | 1983-11-01
 ARIZONA              | M      | 1955-05-23
 ARIZONA              | F      | 1993-01-29
